,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
99,frozenset({'Nylon Washer M3'}),"frozenset({'SS Hex Nut M2.5', 'Lacing thread'})",0.18461538461538463,0.1076923076923077,0.1076923076923077,0.5833333333333334,5.416666666666667,1.0,0.08781065088757398,2.1415384615384614,1.0000000000000002,0.5833333333333334,0.5330459770114944,0.7916666666666667
50,frozenset({'SS Square Nut; M3'}),frozenset({'Nylon Washer M3'}),0.1076923076923077,0.18461538461538463,0.1076923076923077,1.0,5.416666666666666,1.0,0.08781065088757398,inf,0.913793103448276,0.5833333333333334,1.0,0.7916666666666667
94,"frozenset({'SS Hex Nut M2.5', 'Lacing thread'})",frozenset({'Nylon Washer M3'}),0.1076923076923077,0.18461538461538463,0.1076923076923077,1.0,5.416666666666666,1.0,0.08781065088757398,inf,0.913793103448276,0.5833333333333334,1.0,0.7916666666666667
35,frozenset({'MFJ Plastic; 3D059BLG3P'}),frozenset({'Nylon Washer M3'}),0.1076923076923077,0.18461538461538463,0.1076923076923077,1.0,5.416666666666666,1.0,0.08781065088757398,inf,0.913793103448276,0.5833333333333334,1.0,0.7916666666666667
107,"frozenset({'SS Hex Nut M2.5', 'Nylon washer M2.5'})",frozenset({'Nylon Washer M3'}),0.1076923076923077,0.18461538461538463,0.1076923076923077,1.0,5.416666666666666,1.0,0.08781065088757398,inf,0.913793103448276,0.5833333333333334,1.0,0.7916666666666667
100,"frozenset({'SS Square Nut; M3', 'Lacing thread'})",frozenset({'Nylon Washer M3'}),0.1076923076923077,0.18461538461538463,0.1076923076923077,1.0,5.416666666666666,1.0,0.08781065088757398,inf,0.913793103448276,0.5833333333333334,1.0,0.7916666666666667
89,"frozenset({'Lacing thread', 'Permabond 910 50 ml'})",frozenset({'Nylon Washer M3'}),0.1076923076923077,0.18461538461538463,0.1076923076923077,1.0,5.416666666666666,1.0,0.08781065088757398,inf,0.913793103448276,0.5833333333333334,1.0,0.7916666666666667
83,"frozenset({'Lacing thread', 'Nylon washer M2.5'})",frozenset({'Nylon Washer M3'}),0.1076923076923077,0.18461538461538463,0.1076923076923077,1.0,5.416666666666666,1.0,0.08781065088757398,inf,0.913793103448276,0.5833333333333334,1.0,0.7916666666666667
84,"frozenset({'Nylon Washer M3', 'Nylon washer M2.5'})",frozenset({'Lacing thread'}),0.13846153846153847,0.15384615384615385,0.1076923076923077,0.7777777777777778,5.055555555555555,1.0,0.0863905325443787,3.807692307692308,0.9311224489795918,0.5833333333333334,0.7373737373737373,0.7388888888888889
82,"frozenset({'Nylon Washer M3', 'Lacing thread'})",frozenset({'Nylon washer M2.5'}),0.13846153846153847,0.15384615384615385,0.1076923076923077,0.7777777777777778,5.055555555555555,1.0,0.0863905325443787,3.807692307692308,0.9311224489795918,0.5833333333333334,0.7373737373737373,0.7388888888888889
